扛	摃
扣	釦
执	秇
扩	拡
扫	掃
扬	婸
扭	沑
扮	汾
扰	擾
扶	荴
批	纰
抄	莏
抉	決
把	妑
抒	杼
抖	鬦
抗	忼
折	菥
抛	拋
抠	摳
抡	囵
抢	熗
护	戶
报	蕔
披	怶
抬	孡
抱	砲
抹	沬
押	呷
抽	菗
担	泹
拈	秥
拉	菈
拌	絆
拍	啪
拎	柃
拐	枴
拒	岠
拓	沰
拔	菝
拖	柂
拘	佝
拙	炪
招	妱
拜	湃
拟	抳
拢	泷
拥	砽
拨	妭
择	萚
括	葀
拱	珙
拷	洘
拼	拚
拽	跩
拾	湁
拿	嗱
持	歭
挂	啩
指	栺
按	洝
挑	狣
挛	孌
挟	挾
挠	撓
挡	澢
挣	諍
挤	哜
挥	媈
振	桭
挺	侹
挽	梚
捂	圄
捅	硧
捆	涃
捉	浞
捎	哨
捏	涅
捐	涓
捕	峬
捞	崂
损	損
捡	撿
换	換
捣	搗
捧	唪
据	琚
捶	腄
捷	啑
掀	锨
授	涭
掉	鋽
掌	礃
掏	匋
掐	拤
排	棑
掘	崛
掠	稤
接	帹
控	啌
推	蓷
掩	殗
掺	傪
揉	渘
揍	楱
描	媌
提	諟
插	揷
握	楃
揣	遄
揪	啾
援	瑗
揽	灠
搁	擱
搂	嵝
搓	髊
搜	溲
搞	鎬
搭	溚
摄	摂
摆	擺
摇	愮
摘	擿
摧	凗
摩	嚤
摸	嗼
撅	瘚
撇	潎
撑	撐
撒	潵
撕	凘
撞	獞
撤	徹
撩	嫽
撬	毳
播	譒
擂	檑
操	懆
擒	檎
擦	攃
攀	襻
攒	瓒
支	伎
收	荍
改	妀
攻	糼
放	倣
政	炡
故	诂
敌	敵
敏	勄
救	慦
敖	獓
教	嘋
敛	潋
敝	獙
敢	噉
散	潵
敬	擏
数	薮
敲	毃
文	妏
斑	癍
斗	乧
斤	釿
斧	釡
斩	斬
断	斷
斯	凘
新	噺
方	汸
施	湤
旁	臱
旅	膂
旋	嫙
族	蔟
无	嘸
既	旣
日	ㄖ
旦	狚
旧	舊
早	皁
旬	洵
旭	旮
旱	猂
时	溡
旷	纩
旺	忹
昂	昻
昆	崐
昌	誯
明	眀
昏	涽
易	昜
昔	厝
星	暒
映	眏
春	舂
昨	葃
是	湜
晃	愰
晋	晉
晒	曬
晓	哓
晕	暈
晚	脕
晦	珻
晨	曟
景	憬
晴	啨
晶	瞐
智	潪
晾	涼
暂	暫
暇	叚
暑	濐
暖	煖
暴	懪
曲	浀
更	浭
曹	蓸
曼	嫚
曾	嶒
替	櫕
最	朂
月	仴
有	洧
朋	萠
服	棴
朗	蓢
望	朢
朝	謿
期	剘
木	朩
未	沬
末	沬
本	夲
术	朮
朱	咮
朴	圤
朵	朶
机	僟
杀	摋
杂	卆
权	權
杏	莕
材	財
村	籿
杖	粀
杜	荰
束	娕
杠	釭
条	條
来	唻
杨	昜
杭	忼
杯	柸
杰	傑
松	菘
板	闆
构	媾
枉	忹
析	唽
枕	忱
林	啉
果	淉
枝	汥
枣	栆
枪	熗
枫	猦
枯	喖
架	泇
柄	窉
某	湈
染	媣
柔	渘
柜	匱
查	楂
柱	炷
柳	栁
柴	枈
柿	枾
标	摽
栈	棧
栋	崬
栏	孄
树	樹
栓	拴
样	樣
核	劾
根	艮
格	咯
栽	酨
桂	蓕
桃	洮
桌	棹
桐	秱
桑	鎟
档	澢
桥	喬
桶	硧
梁	樑
梅	烸
梢	哨
梦	夢
梨	悡
梭	逡
梯	珶
械	悈
检	撿
棉	婂
棋	諆
棍	輥
棒	蜯
棕	琮
棚	堋
棠	橖
森	潹
棵	錁
棺	菅
椅	掎
植	淔
椰	倻
楚	椘
楷	揩
楼	溇
概	漑
榔	蓈
榜	徬
榨	搾
榴	媹
模	嗼
横	橫
樱	璎
橡	潒
橱	廚
欠	芡
次	佽
欢	歡
欣	俽
欧	瓯
欲	慾
欺	剘
款	窾
歉	嗛
歌	戨
止	圵
正	囸
此	泚
步	荹
武	娬
歧	忮
死	屍
歼	姧
殉	咰
殊	姝
残	殘
殴	瓯
段	葮
毁	毇
毅	藙
母	毋
每	烸
毒	毐
比	仳
毕	滭
毙	斃
毛	毝
民	姄
气	氣
水	渁
永	怺
汁	汥
求	浗
汇	匯
汉	漢
汕	訕
汗	汙
汛	卂
汝	肗
江	茳
池	肔
污	汚
汤	饧
汪	忹
汰	呔
沈	瀋
沉	冗
沙	乷
沟	芶
没	莈
沦	囵
沧	獊
沪	戶
沫	沬
河	菏
油	怞
治	菭
沽	钴
沾	跕
泄	绁
泉	葲
法	琺
泛	疺
泡	垉
波	菠
泣	淇
泥	狔
注	炷
泪	汨
泰	溙
泳	怺
泻	瀉
泼	秡
泽	澤
洋	樣
洒	灑
洗	冼
洛	詻
洞	狪
津	珒
洪	葓
洲	詶
活	萿
洼	哇
派	哌
流	蓅
浅	淺
浆	槳
测	恻
济	哜
浑	渾
浓	哝
浙	淅
浩	滘
浪	烺
浮	捊
海	嗨
浸	锓
涂	凃
涉	渉
涌	悀
涕	珶
涛	濤
涝	崂
涡	煱
润	潤
涩	澀
涵	凾
淋	啉
淑	蔋
淘	匋
淡	惔
淤	菸
淫	婬
淬	濢
淮	准
深	堔
淳	錞
混	婫
淹	殗
添	婖
清	凊
渊	棩
渗	椮
渝	揄
渡	喥
渣	碴
温	溫
渴	渇
游	遊
渺	緲
湖	煳
湛	偡
湾	塆
湿	濕
溃	潰
溉	漑
源	羱
溜	媹
溪	渓
溶	嫆
滁	蒢
滋	稵
滑	磆
滔	瑫
滚	蔉
满	慲
滤	慮
滥	嚂
滨	璸
滴	嘀
漂	慓
漏	屚
演	湮
漠	嗼
漫	嫚
漾	羕
潘	瀋
潜	濳
潭	憛
潮	謿
澄	僜
澈	瞮
澜	瀾
澡	璪
澳	奧
激	噭
瀑	鑤
灌	潅
火	焱
灭	搣
灯	燈
灰	洃
灵	靈
灾	災
炉	爐
炎	烾
炕	忼
炬	岠
炭	湠
炮	垉
炯	泂
炸	怍
点	點
炼	煉
烁	爍
烂	灡
烈	烮
烙	絡
烟	煙
烤	栲
烦	煩
烧	燒
热	慹
焉	漹
焊	猂
焦	潐
焰	熖
然	嘫
煌	瑝
煞	繺
煤	湈
照	燳
煮	煑
